key,en,es,fr,ja,ka,pt,ru,uk
[wave][center]Yeah right! Show me then! Bring it on!!,[wave][center]Yeah right! Show me then! Bring it on!!,,,[wave][center]うっそだぁ！なら証明しろ！勝負だ！,,"[wave][center]Sem chance! Me mostre então!
Pode vir!!",[wave][center]Ну конечно! Давай проверим!,
"My life has turned into an endless line of misery and illness. I beg of you, if you have any mercy in your soul, please kill me, and make it as painful as possible.","My life has turned into an endless line of misery and illness. I beg of you, if you have any mercy in your soul, please kill me, and make it as painful as possible.","Mi vida se convirtió en una eterna línea de miseria y enfermedades. Te suplico, si tienes algo de compasión en tu alma, por favor mátame, y hazlo tan doloroso como sea posible.","Ma vie n'est plus qu'une ligne infinie de misère et de maladie. Je vous en supplie, si vous avez au moins une once de pitié dans votre âme, tuez-moi s'il vous plait, et faites en sorte que ça soit le plus douloureux possible. ","私の人生は果てしない病気と苦しみに満ちている。
お願いだ。同情するならできるだけ苦しませて殺してほしい。","ჩემი ცხოვრება გახდა უსასრულო უბედურების და ავადმყოფობის მიმდევრობა. გევედრები, თუ რაიმე წყალობა გაქვს შენს სულში, გთხოვ, მომკალი, რაც შეიძლება მტკივნეულად.","Minha vida se tornou uma eterna linha de miséria e doença. Eu lhe imploro, se você tiver qualquer piedade na sua alma, por favor me mate, e faça ser o mais doloroso possível. ","Моя жизнь превратилась в бесконечную череду страданий и болезней. Молю, если в тебе есть хоть капля милосердия, убей меня, и сделай это как можно больнее. ",
You regret touching the nugget. Your hands are covered in a greasy slime now.,You regret touching the nugget. Your hands are covered in a greasy slime now.,Te arrepientes de tocar el nugget. Ahora tus manos están cubiertas de una grasosa baba.,Tu regrettes avoir toucher le nugget. Tes mains sont couvertes de graisse maintenant. ,王族の欠片を触ったのを後悔している。手がぬるぬるしたスライムでベタベタしている。,ნანობ ნაგეტის შეხებას. ახლა შენი ხელები დაფარულია ცხიმოვანი სითხით.,Você se arrepende de ter tocado o nugget. Suas mãos agora estão cobertas de sebo gorduroso.,"Зря ты потрогала Наггетс, теперь твои руки в мерзкой жиже.",
Nugget,Nugget,Nugget,Nugget,肉の塊,ნაგეტი,Nugget,Наггетс,
[center]It was like the dream had its fingers in the here and now...,[center]It was like the dream had its fingers in the here and now...,,,[center]本当に現実に感じるような夢だった・・・,,[center]Era como se o sonho tivesse seus dedos no aqui e agora...,"[center]Было чувство, словно сон стал явью...",
"[center]These creatures lived in small societies, and did nothing of note.","[center]These creatures lived in small societies, and did nothing of note.",,,[center]そいつらは少数で行動し、特に興味深い行動はしない。,,"[center]Essas criaturas viveram em pequenas sociedades, e fizeram nada notável.","[center]Эти существа жили в маленьких общинах, и их быт был достаточно примитивен.",
"The double stalked thing looks at you with all of its eyes.
It seems to beckon you.","The double stalked thing looks at you with all of its eyes.
It seems to beckon you.","La cosa de doble tallo te mira con todos sus ojos.
Parece que te hace señas.","L'espèce de tige a deux têtes te regarde de tous ses yeux. 
Elle semble vouloir que tu te rapproches. ","二本の茎を持つやつは、すべての目で君を見つめている。
誘っているみたいだ・・・","ორმაგი ღერო ყველა თავისი თვალით გიყურებს.
თითქოს გიწვევსო.",A coisa de duplo caule te observa com todos os olhos dele. Parece-lhe acenar.,Двойной стебель смотрит на тебя двумя парами глаз. Оно манит тебя.,
"The Paragon is ancient, and floats in place sadly.
It has seen billions of years worth of death and life.","The Paragon is ancient, and floats in place sadly.
It has seen billions of years worth of death and life.",,,"パラゴンは古代から存在し、悲しそうに浮かんでいる。
何兆年分の生と死を見ている。",,"O Paragão é ancestral, e flutua no lugar tristemente.
Ele já viu cerca de bilhões de anos de morte e vida.","Древний Парагон печально парит на месте. 
Он узрел миллиарды лет жизни и смерти.",
The nurse looks very proud of new discoveries in mental health!,The nurse looks very proud of new discoveries in mental health!,¡La enfermera parece muy orgullosa de nuevos descubrimientos en salud mental!,L'infirmière semble très fière des nouvelles découvertes qui ont été faites dans le secteur de la santé mentale ! ,新しいメンタルヘルスの発見にとても喜んでいるみたい！,ექთანი გამოიყურება ამაყად მენტალურ ჯანმრთელობის ახალი აღმოჩენებით.,A enfermeira parece muito orgulhosa das novas descobertas na área de saúde mental.,Медсестра очень гордится новыми познаниями в психиатрии!,
"The Piss Lipid shakes and dances.
There's a smell of Urea in the air.","The Piss Lipid shakes and dances.
There's a smell of Urea in the air.",,,"ピスリピッドは激しく踊る。
空気が尿の匂いがする。",,"O Garoto Xixi Lipídicos requebra e danças.
Tem um forte cheiro de Ureia no ar.","Писающий Липид танцует и трясётся.
В воздухе повис запах мочевины.",
"The Human is starting to learn proper speech.
Once it is finished, its carapice will harden and it will be ready to go.","The Human is starting to learn proper speech.
Once it is finished, its carapice will harden and it will be ready to go.",,,人間が文章を覚え始めている。これが完了すればカラパイスが硬化し準備が終わる。,,"O Humano está aprendendo a conversar adequadamente.
Assim que terminar, sua carapaça enrijecerá e ele estará pronto para ir.","Человек приступает к изучению правильной речи.
Как только он закончит, его панцирь затвердеет, и он будет готов отправляться.",
"Well, isn't this great?
That's the main root sphincter. Isn't it a beaut'?
Problem is, with all of these moths around, it's closed up tight, so we can't go and check up on the roots of these buildings until they're gone. What a pain.","Well, isn't this great?
That's the main root sphincter. Isn't it a beaut'?
Problem is, with all of these moths around, it's closed up tight, so we can't go and check up on the roots of these buildings until they're gone. What a pain.",,,"素晴らしいだろ？
あれがメインのルートスフィンクターだ。美しいだろ？
だが問題がある。蛾のせいで開かなくて中を確認できないんんだ。参ったな。",,"Veja, isso não é perfeito?
Essa é a própria esfíncter raiz. Não é uma lindeza?
O problema é, com todas essa mariposas por aí, ele se fechou por completo, e por isso não conseguimos entrar e checar a raiz dos edifícios até que elas estejam mortas. Que desgraça.","Это главный корневой сфинктер. Разве он не прекрасен?
Проблема в том, что он наглухо закрыт из-за мотыльков, и пока те не исчезнут, мы не сможем проверить корни зданий.
Вот ведь незадача.",
